Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.302586	Val Loss: 2.302759	Val Acc: 7
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.302851	Val Loss: 2.299581	Val Acc: 11
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.482491	Val Loss: 2.360310	Val Acc: 8
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.364640	Val Loss: 2.302071	Val Acc: 11
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 2.205976	Val Loss: 2.140367	Val Acc: 20
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.272988	Val Loss: 2.093401	Val Acc: 22
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 1.952820	Val Loss: 1.957261	Val Acc: 27
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.945049	Val Loss: 1.859851	Val Acc: 31
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.724358	Val Loss: 1.764618	Val Acc: 35
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.784279	Val Loss: 1.744456	Val Acc: 36
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.770607	Val Loss: 1.684726	Val Acc: 36
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.520527	Val Loss: 1.637941	Val Acc: 37
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.542944	Val Loss: 1.628068	Val Acc: 42
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.637618	Val Loss: 1.581238	Val Acc: 42
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.509648	Val Loss: 1.534050	Val Acc: 43
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.471267	Val Loss: 1.514853	Val Acc: 45
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.455385	Val Loss: 1.536939	Val Acc: 46
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.407904	Val Loss: 1.445866	Val Acc: 47
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.528716	Val Loss: 1.476657	Val Acc: 48
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.542210	Val Loss: 1.486459	Val Acc: 46
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.445066	Val Loss: 1.464731	Val Acc: 46
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.451803	Val Loss: 1.402370	Val Acc: 49
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.305551	Val Loss: 1.410242	Val Acc: 48
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.422536	Val Loss: 1.421529	Val Acc: 48
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.325115	Val Loss: 1.418496	Val Acc: 49
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.536116	Val Loss: 1.389199	Val Acc: 50
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 1.359245	Val Loss: 1.433299	Val Acc: 48
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.337355	Val Loss: 1.382478	Val Acc: 48
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.465359	Val Loss: 1.346212	Val Acc: 50
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.443205	Val Loss: 1.357087	Val Acc: 49
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.347831	Val Loss: 1.338250	Val Acc: 52
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.422134	Val Loss: 1.306466	Val Acc: 53
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.504578	Val Loss: 1.377630	Val Acc: 49
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.505072	Val Loss: 1.361105	Val Acc: 51
Train Epoch: 2 [18000/49000 (37%)]	Train Loss: 1.386213	Val Loss: 1.321798	Val Acc: 52
Train Epoch: 2 [20000/49000 (41%)]	Train Loss: 1.434896	Val Loss: 1.319557	Val Acc: 52
Train Epoch: 2 [22000/49000 (45%)]	Train Loss: 1.384022	Val Loss: 1.339023	Val Acc: 51
Train Epoch: 2 [24000/49000 (49%)]	Train Loss: 1.203859	Val Loss: 1.266243	Val Acc: 54
Train Epoch: 2 [26000/49000 (53%)]	Train Loss: 1.297873	Val Loss: 1.264771	Val Acc: 54
Train Epoch: 2 [28000/49000 (57%)]	Train Loss: 1.537789	Val Loss: 1.336725	Val Acc: 51
Train Epoch: 2 [30000/49000 (61%)]	Train Loss: 1.511126	Val Loss: 1.289826	Val Acc: 52
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.339339	Val Loss: 1.262142	Val Acc: 54
Train Epoch: 2 [34000/49000 (69%)]	Train Loss: 1.341876	Val Loss: 1.274673	Val Acc: 52
Train Epoch: 2 [36000/49000 (73%)]	Train Loss: 1.276463	Val Loss: 1.286039	Val Acc: 53
Train Epoch: 2 [38000/49000 (78%)]	Train Loss: 1.287095	Val Loss: 1.244285	Val Acc: 55
Train Epoch: 2 [40000/49000 (82%)]	Train Loss: 1.376475	Val Loss: 1.214571	Val Acc: 57
Train Epoch: 2 [42000/49000 (86%)]	Train Loss: 1.290072	Val Loss: 1.268115	Val Acc: 55
Train Epoch: 2 [44000/49000 (90%)]	Train Loss: 1.267352	Val Loss: 1.236383	Val Acc: 56
Train Epoch: 2 [46000/49000 (94%)]	Train Loss: 1.305450	Val Loss: 1.239101	Val Acc: 55
