Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.302586	Val Loss: 2.302480	Val Acc: 9
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.303062	Val Loss: 2.301922	Val Acc: 11
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.967092	Val Loss: 2.581818	Val Acc: 11
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.308809	Val Loss: 2.302140	Val Acc: 13
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 2.149394	Val Loss: 2.130815	Val Acc: 20
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.142760	Val Loss: 2.077573	Val Acc: 26
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.000017	Val Loss: 2.034927	Val Acc: 22
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.973215	Val Loss: 1.993306	Val Acc: 26
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.903915	Val Loss: 1.958050	Val Acc: 28
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.958075	Val Loss: 1.854226	Val Acc: 32
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.824590	Val Loss: 1.854297	Val Acc: 31
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.948219	Val Loss: 1.730079	Val Acc: 37
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.698466	Val Loss: 1.762805	Val Acc: 34
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.725236	Val Loss: 1.751312	Val Acc: 33
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.546234	Val Loss: 1.634284	Val Acc: 40
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.674055	Val Loss: 1.713153	Val Acc: 39
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.703177	Val Loss: 1.628554	Val Acc: 42
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.680600	Val Loss: 1.632433	Val Acc: 40
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.601110	Val Loss: 1.598671	Val Acc: 42
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.484821	Val Loss: 1.558203	Val Acc: 42
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.573065	Val Loss: 1.543794	Val Acc: 44
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.592875	Val Loss: 1.545094	Val Acc: 43
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.519421	Val Loss: 1.540262	Val Acc: 43
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.498061	Val Loss: 1.528300	Val Acc: 43
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.424600	Val Loss: 1.501053	Val Acc: 45
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 3.262529	Val Loss: 2.721738	Val Acc: 21
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 2.010448	Val Loss: 1.964135	Val Acc: 26
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.748304	Val Loss: 1.761578	Val Acc: 34
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.739955	Val Loss: 1.737232	Val Acc: 35
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.631133	Val Loss: 1.584386	Val Acc: 42
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.548092	Val Loss: 1.539066	Val Acc: 46
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.526416	Val Loss: 1.507402	Val Acc: 45
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.664268	Val Loss: 1.516548	Val Acc: 45
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.453531	Val Loss: 1.488442	Val Acc: 46
Train Epoch: 2 [18000/49000 (37%)]	Train Loss: 1.647459	Val Loss: 1.456902	Val Acc: 48
Train Epoch: 2 [20000/49000 (41%)]	Train Loss: 1.544252	Val Loss: 1.477327	Val Acc: 48
Train Epoch: 2 [22000/49000 (45%)]	Train Loss: 1.409337	Val Loss: 1.509170	Val Acc: 45
Train Epoch: 2 [24000/49000 (49%)]	Train Loss: 1.406677	Val Loss: 1.559937	Val Acc: 42
Train Epoch: 2 [26000/49000 (53%)]	Train Loss: 1.537488	Val Loss: 1.446914	Val Acc: 46
Train Epoch: 2 [28000/49000 (57%)]	Train Loss: 1.546370	Val Loss: 1.450755	Val Acc: 47
Train Epoch: 2 [30000/49000 (61%)]	Train Loss: 1.441056	Val Loss: 1.449985	Val Acc: 47
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.450406	Val Loss: 1.411964	Val Acc: 48
Train Epoch: 2 [34000/49000 (69%)]	Train Loss: 1.467846	Val Loss: 1.425169	Val Acc: 48
Train Epoch: 2 [36000/49000 (73%)]	Train Loss: 1.379441	Val Loss: 1.400302	Val Acc: 48
Train Epoch: 2 [38000/49000 (78%)]	Train Loss: 1.465522	Val Loss: 1.399633	Val Acc: 49
Train Epoch: 2 [40000/49000 (82%)]	Train Loss: 1.368105	Val Loss: 1.422494	Val Acc: 47
Train Epoch: 2 [42000/49000 (86%)]	Train Loss: 1.495835	Val Loss: 1.370357	Val Acc: 49
Train Epoch: 2 [44000/49000 (90%)]	Train Loss: 1.383587	Val Loss: 1.361811	Val Acc: 49
Train Epoch: 2 [46000/49000 (94%)]	Train Loss: 1.404511	Val Loss: 1.363543	Val Acc: 51
Train Epoch: 2 [48000/49000 (98%)]	Train Loss: 1.418511	Val Loss: 1.320333	Val Acc: 53
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.969767	Val Loss: 2.625460	Val Acc: 18
Train Epoch: 3 [2000/49000 (4%)]	Train Loss: 1.719663	Val Loss: 1.733951	Val Acc: 35
Train Epoch: 3 [4000/49000 (8%)]	Train Loss: 1.587854	Val Loss: 1.633184	Val Acc: 39
Train Epoch: 3 [6000/49000 (12%)]	Train Loss: 1.540445	Val Loss: 1.522712	Val Acc: 45
Train Epoch: 3 [8000/49000 (16%)]	Train Loss: 1.565971	Val Loss: 1.461283	Val Acc: 46
Train Epoch: 3 [10000/49000 (20%)]	Train Loss: 1.485063	Val Loss: 1.520445	Val Acc: 45
Train Epoch: 3 [12000/49000 (24%)]	Train Loss: 1.350810	Val Loss: 1.346591	Val Acc: 51
Train Epoch: 3 [14000/49000 (29%)]	Train Loss: 1.329158	Val Loss: 1.369237	Val Acc: 52
Train Epoch: 3 [16000/49000 (33%)]	Train Loss: 1.410425	Val Loss: 1.329939	Val Acc: 54
Train Epoch: 3 [18000/49000 (37%)]	Train Loss: 1.412382	Val Loss: 1.381072	Val Acc: 51
Train Epoch: 3 [20000/49000 (41%)]	Train Loss: 1.313003	Val Loss: 1.394950	Val Acc: 50
Train Epoch: 3 [22000/49000 (45%)]	Train Loss: 1.291278	Val Loss: 1.376051	Val Acc: 51
Train Epoch: 3 [24000/49000 (49%)]	Train Loss: 1.300608	Val Loss: 1.315042	Val Acc: 53
Train Epoch: 3 [26000/49000 (53%)]	Train Loss: 1.457306	Val Loss: 1.279187	Val Acc: 54
Train Epoch: 3 [28000/49000 (57%)]	Train Loss: 1.532766	Val Loss: 1.415154	Val Acc: 48
Train Epoch: 3 [30000/49000 (61%)]	Train Loss: 1.335325	Val Loss: 1.378583	Val Acc: 48
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 1.255720	Val Loss: 1.287402	Val Acc: 53
Train Epoch: 3 [34000/49000 (69%)]	Train Loss: 1.292566	Val Loss: 1.297028	Val Acc: 52
Train Epoch: 3 [36000/49000 (73%)]	Train Loss: 1.198188	Val Loss: 1.281295	Val Acc: 54
Train Epoch: 3 [38000/49000 (78%)]	Train Loss: 1.335849	Val Loss: 1.264306	Val Acc: 55
Train Epoch: 3 [40000/49000 (82%)]	Train Loss: 1.235633	Val Loss: 1.319095	Val Acc: 52
Train Epoch: 3 [42000/49000 (86%)]	Train Loss: 1.185495	Val Loss: 1.245772	Val Acc: 56
Train Epoch: 3 [44000/49000 (90%)]	Train Loss: 1.246747	Val Loss: 1.250968	Val Acc: 54
Train Epoch: 3 [46000/49000 (94%)]	Train Loss: 1.197292	Val Loss: 1.291589	Val Acc: 54
Train Epoch: 3 [48000/49000 (98%)]	Train Loss: 1.304332	Val Loss: 1.301868	Val Acc: 55
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 4.361291	Val Loss: 3.618518	Val Acc: 14
Train Epoch: 4 [2000/49000 (4%)]	Train Loss: 2.044942	Val Loss: 2.198218	Val Acc: 18
Train Epoch: 4 [4000/49000 (8%)]	Train Loss: 1.915090	Val Loss: 1.915107	Val Acc: 30
Train Epoch: 4 [6000/49000 (12%)]	Train Loss: 1.637437	Val Loss: 1.707665	Val Acc: 36
Train Epoch: 4 [8000/49000 (16%)]	Train Loss: 1.565582	Val Loss: 1.589186	Val Acc: 42
Train Epoch: 4 [10000/49000 (20%)]	Train Loss: 1.638667	Val Loss: 1.517733	Val Acc: 47
Train Epoch: 4 [12000/49000 (24%)]	Train Loss: 1.575497	Val Loss: 1.534683	Val Acc: 43
Train Epoch: 4 [14000/49000 (29%)]	Train Loss: 1.475341	Val Loss: 1.459901	Val Acc: 46
Train Epoch: 4 [16000/49000 (33%)]	Train Loss: 1.362352	Val Loss: 1.403110	Val Acc: 49
Train Epoch: 4 [18000/49000 (37%)]	Train Loss: 1.471452	Val Loss: 1.542008	Val Acc: 47
Train Epoch: 4 [20000/49000 (41%)]	Train Loss: 1.414704	Val Loss: 1.427361	Val Acc: 50
Train Epoch: 4 [22000/49000 (45%)]	Train Loss: 1.511925	Val Loss: 1.402152	Val Acc: 49
Train Epoch: 4 [24000/49000 (49%)]	Train Loss: 1.494259	Val Loss: 1.363977	Val Acc: 51
Train Epoch: 4 [26000/49000 (53%)]	Train Loss: 1.455109	Val Loss: 1.340044	Val Acc: 52
Train Epoch: 4 [28000/49000 (57%)]	Train Loss: 1.251537	Val Loss: 1.359763	Val Acc: 53
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 1.347508	Val Loss: 1.358448	Val Acc: 49
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 1.439023	Val Loss: 1.353674	Val Acc: 52
Train Epoch: 4 [34000/49000 (69%)]	Train Loss: 1.463273	Val Loss: 1.343707	Val Acc: 53
Train Epoch: 4 [36000/49000 (73%)]	Train Loss: 1.258816	Val Loss: 1.280179	Val Acc: 55
Train Epoch: 4 [38000/49000 (78%)]	Train Loss: 1.270885	Val Loss: 1.299133	Val Acc: 54
Train Epoch: 4 [40000/49000 (82%)]	Train Loss: 1.397785	Val Loss: 1.320178	Val Acc: 53
Train Epoch: 4 [42000/49000 (86%)]	Train Loss: 1.292483	Val Loss: 1.276151	Val Acc: 55
