Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.287992	Val Loss: 3.754978	Val Acc: 7
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.863456	Val Loss: 2.762267	Val Acc: 18
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.523132	Val Loss: 2.436945	Val Acc: 22
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.384546	Val Loss: 2.224601	Val Acc: 26
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 2.155780	Val Loss: 2.051430	Val Acc: 29
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.009876	Val Loss: 1.965695	Val Acc: 31
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.262567	Val Loss: 1.952517	Val Acc: 31
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.886703	Val Loss: 1.891162	Val Acc: 34
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 2.000042	Val Loss: 1.838654	Val Acc: 37
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.750897	Val Loss: 1.847569	Val Acc: 35
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.782126	Val Loss: 1.769366	Val Acc: 37
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.840746	Val Loss: 1.765207	Val Acc: 37
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.801102	Val Loss: 1.768182	Val Acc: 38
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.861784	Val Loss: 1.703685	Val Acc: 39
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.610855	Val Loss: 1.715146	Val Acc: 40
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.757075	Val Loss: 1.671660	Val Acc: 42
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.622366	Val Loss: 1.657549	Val Acc: 41
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.611845	Val Loss: 1.642081	Val Acc: 42
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.672353	Val Loss: 1.674172	Val Acc: 42
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.483511	Val Loss: 1.654342	Val Acc: 42
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.511362	Val Loss: 1.622843	Val Acc: 43
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.617380	Val Loss: 1.624213	Val Acc: 42
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.698961	Val Loss: 1.658715	Val Acc: 43
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.540775	Val Loss: 1.603746	Val Acc: 44
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.583695	Val Loss: 1.575277	Val Acc: 46
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.436126	Val Loss: 1.555680	Val Acc: 46
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 1.366117	Val Loss: 1.554838	Val Acc: 46
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.493932	Val Loss: 1.566196	Val Acc: 45
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.681127	Val Loss: 1.576480	Val Acc: 45
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.527524	Val Loss: 1.525302	Val Acc: 46
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.429020	Val Loss: 1.534924	Val Acc: 47
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.498653	Val Loss: 1.543446	Val Acc: 46
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.414649	Val Loss: 1.507258	Val Acc: 46
