Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.302586	Val Loss: 2.302556	Val Acc: 7
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.303817	Val Loss: 2.301736	Val Acc: 10
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.313969	Val Loss: 2.285965	Val Acc: 10
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.206051	Val Loss: 2.481231	Val Acc: 13
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 2.263068	Val Loss: 2.213139	Val Acc: 16
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.188458	Val Loss: 2.126127	Val Acc: 23
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.041668	Val Loss: 2.070837	Val Acc: 28
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.995035	Val Loss: 1.959358	Val Acc: 29
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.996581	Val Loss: 1.824430	Val Acc: 33
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.750403	Val Loss: 1.825845	Val Acc: 33
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.825617	Val Loss: 1.799748	Val Acc: 34
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.802632	Val Loss: 1.779769	Val Acc: 35
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.741310	Val Loss: 1.705535	Val Acc: 37
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.654891	Val Loss: 1.644324	Val Acc: 38
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.567016	Val Loss: 1.608451	Val Acc: 40
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.721844	Val Loss: 1.604417	Val Acc: 43
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.683090	Val Loss: 1.550887	Val Acc: 44
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.468753	Val Loss: 1.532192	Val Acc: 46
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.594928	Val Loss: 1.569358	Val Acc: 44
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.676414	Val Loss: 1.557796	Val Acc: 44
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.636455	Val Loss: 1.532877	Val Acc: 46
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.507905	Val Loss: 1.505139	Val Acc: 43
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.618076	Val Loss: 1.461869	Val Acc: 47
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.511503	Val Loss: 1.485423	Val Acc: 45
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.482645	Val Loss: 1.531418	Val Acc: 42
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.552016	Val Loss: 1.434133	Val Acc: 49
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 1.415928	Val Loss: 1.467488	Val Acc: 46
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.563703	Val Loss: 1.448244	Val Acc: 50
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.475201	Val Loss: 1.429383	Val Acc: 47
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.478657	Val Loss: 1.465325	Val Acc: 45
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.503317	Val Loss: 1.409205	Val Acc: 49
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.367342	Val Loss: 1.390010	Val Acc: 49
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.507715	Val Loss: 1.377852	Val Acc: 50
