Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.256946	Val Loss: 3.525705	Val Acc: 12
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 3.203682	Val Loss: 2.639555	Val Acc: 30
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.157395	Val Loss: 2.458090	Val Acc: 31
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.355536	Val Loss: 2.130163	Val Acc: 32
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.053761	Val Loss: 2.096139	Val Acc: 33
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 1.792272	Val Loss: 1.899443	Val Acc: 35
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 1.702554	Val Loss: 1.779090	Val Acc: 41
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 1.860199	Val Loss: 1.717658	Val Acc: 42
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 1.732478	Val Loss: 1.780884	Val Acc: 39
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 1.749916	Val Loss: 1.744865	Val Acc: 42
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.647228	Val Loss: 1.750901	Val Acc: 39
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 1.626029	Val Loss: 1.708019	Val Acc: 41
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 1.644986	Val Loss: 1.727872	Val Acc: 36
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 1.630958	Val Loss: 1.702083	Val Acc: 40
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 1.721552	Val Loss: 1.685463	Val Acc: 42
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 1.777307	Val Loss: 1.707633	Val Acc: 40
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.772380	Val Loss: 1.689359	Val Acc: 40
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 1.608647	Val Loss: 1.682810	Val Acc: 40
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 1.864272	Val Loss: 1.705972	Val Acc: 41
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 1.576002	Val Loss: 1.648586	Val Acc: 45
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.787452	Val Loss: 1.628584	Val Acc: 46
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 1.774986	Val Loss: 1.718504	Val Acc: 42
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 1.836665	Val Loss: 1.679165	Val Acc: 40
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 1.747613	Val Loss: 1.701367	Val Acc: 39
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 1.553944	Val Loss: 1.682663	Val Acc: 42
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.687355	Val Loss: 1.713511	Val Acc: 41
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 1.763884	Val Loss: 1.701564	Val Acc: 43
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 1.717625	Val Loss: 1.684809	Val Acc: 40
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.643631	Val Loss: 1.670880	Val Acc: 42
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.708699	Val Loss: 1.666378	Val Acc: 43
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.801638	Val Loss: 1.679618	Val Acc: 42
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 1.627499	Val Loss: 1.685122	Val Acc: 42
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 1.745303	Val Loss: 1.678208	Val Acc: 43
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.801830	Val Loss: 1.702719	Val Acc: 41
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.765562	Val Loss: 1.701197	Val Acc: 39
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.763658	Val Loss: 1.706495	Val Acc: 42
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.707331	Val Loss: 1.713581	Val Acc: 41
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.708870	Val Loss: 1.712913	Val Acc: 38
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.813580	Val Loss: 1.676558	Val Acc: 42
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 3.141767	Val Loss: 3.136558	Val Acc: 7
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 2.370645	Val Loss: 2.271732	Val Acc: 18
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 2.079321	Val Loss: 2.009151	Val Acc: 30
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 1.892752	Val Loss: 1.944222	Val Acc: 31
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.980336	Val Loss: 1.887365	Val Acc: 34
