Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 3.829302	Val Loss: 3.389341	Val Acc: 12
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.260585	Val Loss: 2.410004	Val Acc: 30
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 1.917261	Val Loss: 2.273112	Val Acc: 33
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 1.846884	Val Loss: 2.007475	Val Acc: 37
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 1.772298	Val Loss: 1.797443	Val Acc: 36
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 1.840857	Val Loss: 1.759601	Val Acc: 38
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 1.770095	Val Loss: 1.701221	Val Acc: 41
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.686053	Val Loss: 1.709617	Val Acc: 39
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.679935	Val Loss: 1.692500	Val Acc: 42
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.618987	Val Loss: 1.685248	Val Acc: 39
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.594181	Val Loss: 1.677635	Val Acc: 42
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.648610	Val Loss: 1.663300	Val Acc: 43
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.612886	Val Loss: 1.669165	Val Acc: 42
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.697741	Val Loss: 1.659051	Val Acc: 41
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.665538	Val Loss: 1.648405	Val Acc: 44
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.639378	Val Loss: 1.670961	Val Acc: 43
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.639225	Val Loss: 1.684512	Val Acc: 42
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.618954	Val Loss: 1.666675	Val Acc: 43
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.723888	Val Loss: 1.683351	Val Acc: 40
