Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.323092	Val Loss: 2.302203	Val Acc: 8
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.301019	Val Loss: 2.299021	Val Acc: 13
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.299728	Val Loss: 2.298657	Val Acc: 11
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.293284	Val Loss: 2.296127	Val Acc: 12
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.298657	Val Loss: 2.295475	Val Acc: 11
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 2.297156	Val Loss: 2.294520	Val Acc: 11
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.294223	Val Loss: 2.292449	Val Acc: 12
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 2.286688	Val Loss: 2.290467	Val Acc: 12
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.291445	Val Loss: 2.287367	Val Acc: 13
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 2.294242	Val Loss: 2.282110	Val Acc: 15
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 2.287795	Val Loss: 2.280250	Val Acc: 14
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 2.288114	Val Loss: 2.273564	Val Acc: 14
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.262926	Val Loss: 2.271253	Val Acc: 12
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 2.282777	Val Loss: 2.262560	Val Acc: 14
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 2.263092	Val Loss: 2.257308	Val Acc: 15
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 2.249236	Val Loss: 2.244413	Val Acc: 18
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.248184	Val Loss: 2.244241	Val Acc: 17
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 2.230589	Val Loss: 2.225383	Val Acc: 19
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.222683	Val Loss: 2.218567	Val Acc: 17
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 2.144822	Val Loss: 2.195821	Val Acc: 20
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.168213	Val Loss: 2.171167	Val Acc: 22
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 2.202004	Val Loss: 2.139800	Val Acc: 24
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 2.139109	Val Loss: 2.133718	Val Acc: 27
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 2.154789	Val Loss: 2.081589	Val Acc: 30
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 2.139792	Val Loss: 2.062879	Val Acc: 26
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 2.043209	Val Loss: 2.026228	Val Acc: 29
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 2.106629	Val Loss: 1.998571	Val Acc: 28
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 2.058228	Val Loss: 1.969544	Val Acc: 30
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.054801	Val Loss: 1.953574	Val Acc: 27
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.999231	Val Loss: 1.993480	Val Acc: 30
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.866912	Val Loss: 1.985838	Val Acc: 29
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 1.928380	Val Loss: 1.939984	Val Acc: 30
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 2.032062	Val Loss: 1.945623	Val Acc: 31
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.884724	Val Loss: 1.949358	Val Acc: 31
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.995062	Val Loss: 1.922446	Val Acc: 31
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.977963	Val Loss: 1.891306	Val Acc: 33
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.930573	Val Loss: 1.916296	Val Acc: 33
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.891187	Val Loss: 1.899068	Val Acc: 31
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.877651	Val Loss: 1.871256	Val Acc: 35
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.806478	Val Loss: 1.885658	Val Acc: 35
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 1.869693	Val Loss: 1.840072	Val Acc: 35
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 1.808519	Val Loss: 1.795077	Val Acc: 38
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 1.829996	Val Loss: 1.855169	Val Acc: 35
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.832539	Val Loss: 1.809298	Val Acc: 37
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 1.758561	Val Loss: 1.795963	Val Acc: 35
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 1.796731	Val Loss: 1.772269	Val Acc: 38
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 1.819790	Val Loss: 1.761386	Val Acc: 38
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.737543	Val Loss: 1.733114	Val Acc: 39
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 1.718234	Val Loss: 1.782802	Val Acc: 36
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 1.683695	Val Loss: 1.705408	Val Acc: 39
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 1.798868	Val Loss: 1.759671	Val Acc: 40
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.861013	Val Loss: 1.714084	Val Acc: 40
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 1.629156	Val Loss: 1.736103	Val Acc: 39
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 2.009206	Val Loss: 1.731081	Val Acc: 38
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.672751	Val Loss: 1.705114	Val Acc: 39
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.734039	Val Loss: 1.685695	Val Acc: 40
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 1.596860	Val Loss: 1.671018	Val Acc: 43
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 1.676263	Val Loss: 1.692024	Val Acc: 41
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.568159	Val Loss: 1.629539	Val Acc: 42
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.704137	Val Loss: 1.660112	Val Acc: 41
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.649364	Val Loss: 1.640038	Val Acc: 44
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.594246	Val Loss: 1.607200	Val Acc: 42
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.587149	Val Loss: 1.612629	Val Acc: 44
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.622353	Val Loss: 1.615770	Val Acc: 43
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.714713	Val Loss: 1.576505	Val Acc: 43
