Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.663194	Val Loss: 4.607326	Val Acc: 0
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 4.603958	Val Loss: 4.607992	Val Acc: 1
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 4.601373	Val Loss: 4.605453	Val Acc: 1
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 4.579438	Val Loss: 4.588027	Val Acc: 1
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 4.583403	Val Loss: 4.571186	Val Acc: 1
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 4.587479	Val Loss: 4.575562	Val Acc: 1
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 4.539331	Val Loss: 4.555763	Val Acc: 1
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 4.545105	Val Loss: 4.516532	Val Acc: 2
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 4.587190	Val Loss: 4.538022	Val Acc: 1
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 4.525856	Val Loss: 4.536698	Val Acc: 2
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 4.429493	Val Loss: 4.504867	Val Acc: 1
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 4.526883	Val Loss: 4.473392	Val Acc: 1
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 4.466363	Val Loss: 4.486118	Val Acc: 1
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 4.435152	Val Loss: 4.424486	Val Acc: 2
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 4.492140	Val Loss: 4.397713	Val Acc: 3
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 4.468299	Val Loss: 4.423223	Val Acc: 2
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 4.419954	Val Loss: 4.425930	Val Acc: 2
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 4.308887	Val Loss: 4.357058	Val Acc: 2
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 4.341604	Val Loss: 4.347947	Val Acc: 2
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 4.350101	Val Loss: 4.369382	Val Acc: 4
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 4.291517	Val Loss: 4.350986	Val Acc: 3
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 4.242975	Val Loss: 4.312048	Val Acc: 2
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 4.245315	Val Loss: 4.272134	Val Acc: 3
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 4.149209	Val Loss: 4.248258	Val Acc: 3
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 4.141808	Val Loss: 4.241149	Val Acc: 3
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 4.259413	Val Loss: 4.220845	Val Acc: 5
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 4.365375	Val Loss: 4.252232	Val Acc: 3
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 4.083203	Val Loss: 4.205643	Val Acc: 3
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 4.240138	Val Loss: 4.150060	Val Acc: 6
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 4.172565	Val Loss: 4.206692	Val Acc: 4
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 4.137867	Val Loss: 4.110921	Val Acc: 5
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 4.163346	Val Loss: 4.134425	Val Acc: 5
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 4.107179	Val Loss: 4.127267	Val Acc: 6
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 4.055079	Val Loss: 4.097362	Val Acc: 7
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 4.174733	Val Loss: 4.100209	Val Acc: 5
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 4.103179	Val Loss: 4.043901	Val Acc: 5
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 4.077520	Val Loss: 4.072169	Val Acc: 5
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 4.016855	Val Loss: 4.064476	Val Acc: 6
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 3.970428	Val Loss: 4.048694	Val Acc: 6
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 4.556528	Val Loss: 4.262659	Val Acc: 4
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 4.092671	Val Loss: 4.104183	Val Acc: 4
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 4.153377	Val Loss: 4.113513	Val Acc: 5
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 4.063480	Val Loss: 4.116735	Val Acc: 5
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 3.971240	Val Loss: 4.000729	Val Acc: 6
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 3.928944	Val Loss: 4.013345	Val Acc: 6
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 4.204817	Val Loss: 4.033217	Val Acc: 6
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 3.999375	Val Loss: 4.040003	Val Acc: 7
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 4.095573	Val Loss: 3.993013	Val Acc: 8
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 3.914768	Val Loss: 3.979932	Val Acc: 8
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 3.958829	Val Loss: 3.923893	Val Acc: 9
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 4.003753	Val Loss: 3.902811	Val Acc: 10
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 3.806831	Val Loss: 3.903676	Val Acc: 7
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 4.037749	Val Loss: 3.859103	Val Acc: 10
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 3.955570	Val Loss: 3.902030	Val Acc: 6
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 4.022246	Val Loss: 3.882170	Val Acc: 10
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 3.920112	Val Loss: 3.831795	Val Acc: 10
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 3.937531	Val Loss: 3.804560	Val Acc: 10
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 3.782140	Val Loss: 3.855936	Val Acc: 9
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 3.930739	Val Loss: 3.866828	Val Acc: 7
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 3.766164	Val Loss: 3.737386	Val Acc: 11
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 3.864157	Val Loss: 3.764013	Val Acc: 10
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 3.657827	Val Loss: 3.857484	Val Acc: 10
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 3.796886	Val Loss: 3.795200	Val Acc: 11
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 3.886462	Val Loss: 3.757574	Val Acc: 11
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 3.715046	Val Loss: 3.724022	Val Acc: 10
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 3.852609	Val Loss: 3.703397	Val Acc: 9
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 3.767148	Val Loss: 3.691408	Val Acc: 11
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 3.659194	Val Loss: 3.681638	Val Acc: 12
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 3.718738	Val Loss: 3.756479	Val Acc: 11
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 3.562844	Val Loss: 3.722955	Val Acc: 12
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 3.593377	Val Loss: 3.670476	Val Acc: 11
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 3.436207	Val Loss: 3.713235	Val Acc: 13
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 3.750452	Val Loss: 3.643086	Val Acc: 12
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 3.543647	Val Loss: 3.680595	Val Acc: 11
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 3.485064	Val Loss: 3.638946	Val Acc: 12
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 3.676620	Val Loss: 3.568410	Val Acc: 13
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 3.535992	Val Loss: 3.606391	Val Acc: 13
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 3.643954	Val Loss: 3.600421	Val Acc: 13
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 4.307331	Val Loss: 3.799601	Val Acc: 10
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 3.673660	Val Loss: 3.688433	Val Acc: 12
Train Epoch: 3 [2560/49000 (5%)]	Train Loss: 3.465358	Val Loss: 3.592194	Val Acc: 12
Train Epoch: 3 [3840/49000 (8%)]	Train Loss: 3.504927	Val Loss: 3.617316	Val Acc: 12
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 3.587053	Val Loss: 3.695763	Val Acc: 11
Train Epoch: 3 [6400/49000 (13%)]	Train Loss: 3.540887	Val Loss: 3.600514	Val Acc: 11
Train Epoch: 3 [7680/49000 (16%)]	Train Loss: 3.639727	Val Loss: 3.655411	Val Acc: 13
Train Epoch: 3 [8960/49000 (18%)]	Train Loss: 3.591310	Val Loss: 3.595896	Val Acc: 13
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 3.517116	Val Loss: 3.617427	Val Acc: 10
Train Epoch: 3 [11520/49000 (23%)]	Train Loss: 3.518034	Val Loss: 3.524201	Val Acc: 16
Train Epoch: 3 [12800/49000 (26%)]	Train Loss: 3.607798	Val Loss: 3.462726	Val Acc: 14
Train Epoch: 3 [14080/49000 (29%)]	Train Loss: 3.534460	Val Loss: 3.621536	Val Acc: 11
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 3.434099	Val Loss: 3.481376	Val Acc: 16
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 3.511532	Val Loss: 3.516914	Val Acc: 13
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 3.509909	Val Loss: 3.500879	Val Acc: 14
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 3.410134	Val Loss: 3.522642	Val Acc: 14
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 3.527952	Val Loss: 3.495507	Val Acc: 12
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 3.460153	Val Loss: 3.495841	Val Acc: 14
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 3.421542	Val Loss: 3.516051	Val Acc: 17
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 3.617423	Val Loss: 3.479959	Val Acc: 16
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 3.321916	Val Loss: 3.470242	Val Acc: 16
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 3.442358	Val Loss: 3.436333	Val Acc: 14
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 3.377611	Val Loss: 3.399958	Val Acc: 15
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 3.576285	Val Loss: 3.464045	Val Acc: 15
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 3.467669	Val Loss: 3.481527	Val Acc: 15
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 3.425027	Val Loss: 3.387567	Val Acc: 16
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 3.443320	Val Loss: 3.343602	Val Acc: 18
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 3.178558	Val Loss: 3.399714	Val Acc: 17
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 3.275591	Val Loss: 3.464982	Val Acc: 15
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 3.416330	Val Loss: 3.421304	Val Acc: 16
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 3.389253	Val Loss: 3.338354	Val Acc: 18
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 3.523250	Val Loss: 3.399053	Val Acc: 15
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 3.569796	Val Loss: 3.467921	Val Acc: 15
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 3.705472	Val Loss: 3.508986	Val Acc: 13
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 3.284442	Val Loss: 3.427217	Val Acc: 17
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 3.059461	Val Loss: 3.351996	Val Acc: 18
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 3.392902	Val Loss: 3.421344	Val Acc: 14
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 3.384803	Val Loss: 3.324358	Val Acc: 19
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 3.362146	Val Loss: 3.374890	Val Acc: 16
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 4.674935	Val Loss: 3.565560	Val Acc: 14
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 3.511927	Val Loss: 3.364981	Val Acc: 17
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 3.210434	Val Loss: 3.295898	Val Acc: 15
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 3.370694	Val Loss: 3.371978	Val Acc: 17
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 3.400955	Val Loss: 3.410802	Val Acc: 18
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 3.211777	Val Loss: 3.452870	Val Acc: 16
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 2.936859	Val Loss: 3.354463	Val Acc: 18
Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 3.140743	Val Loss: 3.382847	Val Acc: 18
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 3.205130	Val Loss: 3.378979	Val Acc: 18
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 3.358446	Val Loss: 3.351625	Val Acc: 18
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 3.129450	Val Loss: 3.325090	Val Acc: 19
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 3.293182	Val Loss: 3.298172	Val Acc: 19
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 3.415546	Val Loss: 3.259315	Val Acc: 19
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 3.226358	Val Loss: 3.351673	Val Acc: 17
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 3.174599	Val Loss: 3.377861	Val Acc: 17
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 3.345510	Val Loss: 3.248837	Val Acc: 20
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 3.461104	Val Loss: 3.266734	Val Acc: 18
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 3.041443	Val Loss: 3.218866	Val Acc: 18
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 3.092145	Val Loss: 3.226847	Val Acc: 19
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 3.140778	Val Loss: 3.291604	Val Acc: 17
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 3.111931	Val Loss: 3.288345	Val Acc: 19
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 3.287777	Val Loss: 3.287659	Val Acc: 19
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 3.074768	Val Loss: 3.275140	Val Acc: 18
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 3.343356	Val Loss: 3.205677	Val Acc: 20
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 3.278450	Val Loss: 3.325302	Val Acc: 19
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 3.115176	Val Loss: 3.194619	Val Acc: 19
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 3.052691	Val Loss: 3.235590	Val Acc: 20
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 3.014617	Val Loss: 3.241764	Val Acc: 18
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 3.270589	Val Loss: 3.161840	Val Acc: 22
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 3.476163	Val Loss: 3.179205	Val Acc: 20
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 3.236438	Val Loss: 3.109551	Val Acc: 21
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 2.994099	Val Loss: 3.160476	Val Acc: 23
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 3.071833	Val Loss: 3.118987	Val Acc: 23
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 3.148828	Val Loss: 3.154812	Val Acc: 21
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 3.159508	Val Loss: 3.176096	Val Acc: 22
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 3.201389	Val Loss: 3.157998	Val Acc: 21
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 3.106555	Val Loss: 3.113287	Val Acc: 23
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 2.732899	Val Loss: 3.101789	Val Acc: 23
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 3.252079	Val Loss: 3.099030	Val Acc: 20
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 4.421893	Val Loss: 3.421708	Val Acc: 17
Train Epoch: 5 [1280/49000 (3%)]	Train Loss: 3.035464	Val Loss: 3.287362	Val Acc: 19
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 3.089208	Val Loss: 3.117378	Val Acc: 22
Train Epoch: 5 [3840/49000 (8%)]	Train Loss: 3.254155	Val Loss: 3.116204	Val Acc: 22
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 3.038916	Val Loss: 3.127131	Val Acc: 20
Train Epoch: 5 [6400/49000 (13%)]	Train Loss: 2.952027	Val Loss: 3.152788	Val Acc: 21
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 3.084731	Val Loss: 3.048976	Val Acc: 25
Train Epoch: 5 [8960/49000 (18%)]	Train Loss: 2.791152	Val Loss: 3.120746	Val Acc: 23
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 2.893882	Val Loss: 3.046394	Val Acc: 24
Train Epoch: 5 [11520/49000 (23%)]	Train Loss: 2.859960	Val Loss: 3.119368	Val Acc: 23
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 3.072718	Val Loss: 3.187742	Val Acc: 20
Train Epoch: 5 [14080/49000 (29%)]	Train Loss: 2.971568	Val Loss: 3.127676	Val Acc: 22
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 3.040376	Val Loss: 3.188088	Val Acc: 19
Train Epoch: 5 [16640/49000 (34%)]	Train Loss: 3.042473	Val Loss: 3.054728	Val Acc: 22
Train Epoch: 5 [17920/49000 (37%)]	Train Loss: 2.995002	Val Loss: 3.084145	Val Acc: 23
Train Epoch: 5 [19200/49000 (39%)]	Train Loss: 2.987828	Val Loss: 3.042222	Val Acc: 25
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 2.938876	Val Loss: 3.070754	Val Acc: 23
Train Epoch: 5 [21760/49000 (44%)]	Train Loss: 3.080241	Val Loss: 3.127860	Val Acc: 23
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 2.958587	Val Loss: 3.127892	Val Acc: 23
Train Epoch: 5 [24320/49000 (50%)]	Train Loss: 2.909141	Val Loss: 2.965666	Val Acc: 23
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 2.939296	Val Loss: 3.136487	Val Acc: 23
Train Epoch: 5 [26880/49000 (55%)]	Train Loss: 3.066009	Val Loss: 3.069838	Val Acc: 24
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 2.791490	Val Loss: 2.895222	Val Acc: 27
Train Epoch: 5 [29440/49000 (60%)]	Train Loss: 2.693460	Val Loss: 3.072962	Val Acc: 22
Train Epoch: 5 [30720/49000 (63%)]	Train Loss: 3.138928	Val Loss: 3.040096	Val Acc: 24
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 2.578393	Val Loss: 3.030473	Val Acc: 25
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 2.969722	Val Loss: 3.033305	Val Acc: 25
Train Epoch: 5 [34560/49000 (70%)]	Train Loss: 3.062320	Val Loss: 3.027633	Val Acc: 23
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 2.905077	Val Loss: 3.102305	Val Acc: 20
Train Epoch: 5 [37120/49000 (76%)]	Train Loss: 3.044590	Val Loss: 3.012493	Val Acc: 24
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 2.756483	Val Loss: 3.014465	Val Acc: 24
Train Epoch: 5 [39680/49000 (81%)]	Train Loss: 2.864281	Val Loss: 2.988739	Val Acc: 27
Train Epoch: 5 [40960/49000 (84%)]	Train Loss: 2.930497	Val Loss: 2.932952	Val Acc: 27
Train Epoch: 5 [42240/49000 (86%)]	Train Loss: 2.989821	Val Loss: 2.943742	Val Acc: 27
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 3.076928	Val Loss: 2.972871	Val Acc: 26
Train Epoch: 5 [44800/49000 (91%)]	Train Loss: 3.104239	Val Loss: 2.950419	Val Acc: 23
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 2.807407	Val Loss: 2.965702	Val Acc: 25
Train Epoch: 5 [47360/49000 (97%)]	Train Loss: 2.793701	Val Loss: 2.948643	Val Acc: 26
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 3.102561	Val Loss: 2.917420	Val Acc: 25
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 4.147085	Val Loss: 3.297318	Val Acc: 18
Train Epoch: 6 [1280/49000 (3%)]	Train Loss: 2.910287	Val Loss: 2.989183	Val Acc: 25
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 2.821355	Val Loss: 3.012650	Val Acc: 27
Train Epoch: 6 [3840/49000 (8%)]	Train Loss: 2.866305	Val Loss: 3.016469	Val Acc: 26
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 2.720385	Val Loss: 2.967766	Val Acc: 24
Train Epoch: 6 [6400/49000 (13%)]	Train Loss: 2.553636	Val Loss: 2.864238	Val Acc: 28
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 3.259562	Val Loss: 2.935814	Val Acc: 25
Train Epoch: 6 [8960/49000 (18%)]	Train Loss: 2.652682	Val Loss: 2.902369	Val Acc: 26
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 2.860163	Val Loss: 3.012128	Val Acc: 25
Train Epoch: 6 [11520/49000 (23%)]	Train Loss: 2.989227	Val Loss: 2.904805	Val Acc: 27
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 2.900095	Val Loss: 2.885742	Val Acc: 29
Train Epoch: 6 [14080/49000 (29%)]	Train Loss: 2.901200	Val Loss: 2.870332	Val Acc: 26
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 2.632462	Val Loss: 2.884425	Val Acc: 28
Train Epoch: 6 [16640/49000 (34%)]	Train Loss: 3.079782	Val Loss: 2.951806	Val Acc: 26
Train Epoch: 6 [17920/49000 (37%)]	Train Loss: 2.714364	Val Loss: 2.920751	Val Acc: 25
Train Epoch: 6 [19200/49000 (39%)]	Train Loss: 2.666509	Val Loss: 2.944834	Val Acc: 25
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 2.903763	Val Loss: 2.890764	Val Acc: 26
Train Epoch: 6 [21760/49000 (44%)]	Train Loss: 2.790166	Val Loss: 3.052479	Val Acc: 25
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 2.837425	Val Loss: 2.870561	Val Acc: 28
Train Epoch: 6 [24320/49000 (50%)]	Train Loss: 2.900123	Val Loss: 2.878458	Val Acc: 26
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 3.034719	Val Loss: 2.905353	Val Acc: 24
Train Epoch: 6 [26880/49000 (55%)]	Train Loss: 2.808950	Val Loss: 2.949536	Val Acc: 24
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 2.779255	Val Loss: 2.864070	Val Acc: 29
Train Epoch: 6 [29440/49000 (60%)]	Train Loss: 2.690905	Val Loss: 2.828965	Val Acc: 28
Train Epoch: 6 [30720/49000 (63%)]	Train Loss: 2.636959	Val Loss: 2.968719	Val Acc: 26
Train Epoch: 6 [32000/49000 (65%)]	Train Loss: 3.066710	Val Loss: 2.886568	Val Acc: 25
Train Epoch: 6 [33280/49000 (68%)]	Train Loss: 2.699502	Val Loss: 2.808153	Val Acc: 28
Train Epoch: 6 [34560/49000 (70%)]	Train Loss: 2.567337	Val Loss: 2.858052	Val Acc: 29
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 2.753910	Val Loss: 2.903887	Val Acc: 26
Train Epoch: 6 [37120/49000 (76%)]	Train Loss: 2.774117	Val Loss: 2.905761	Val Acc: 26
Train Epoch: 6 [38400/49000 (78%)]	Train Loss: 2.886634	Val Loss: 2.852454	Val Acc: 26
Train Epoch: 6 [39680/49000 (81%)]	Train Loss: 2.873425	Val Loss: 2.886329	Val Acc: 25
