Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.517383	Val Loss: 3.866369	Val Acc: 10
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.911579	Val Loss: 2.953801	Val Acc: 20
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.316597	Val Loss: 2.311739	Val Acc: 27
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.294477	Val Loss: 2.155797	Val Acc: 31
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 1.999581	Val Loss: 2.044238	Val Acc: 31
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.171250	Val Loss: 2.010540	Val Acc: 32
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 1.875237	Val Loss: 1.943499	Val Acc: 35
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.987334	Val Loss: 1.929415	Val Acc: 36
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.990755	Val Loss: 1.860841	Val Acc: 36
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.911662	Val Loss: 1.828311	Val Acc: 38
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.886735	Val Loss: 1.812779	Val Acc: 36
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.881826	Val Loss: 1.779475	Val Acc: 38
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.764065	Val Loss: 1.752066	Val Acc: 40
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.771047	Val Loss: 1.753525	Val Acc: 39
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.857314	Val Loss: 1.744001	Val Acc: 39
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.784057	Val Loss: 1.710240	Val Acc: 41
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.742429	Val Loss: 1.700949	Val Acc: 42
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.636413	Val Loss: 1.705959	Val Acc: 40
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.830629	Val Loss: 1.652148	Val Acc: 42
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.546457	Val Loss: 1.664784	Val Acc: 42
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.600023	Val Loss: 1.641942	Val Acc: 42
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.584022	Val Loss: 1.661491	Val Acc: 43
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.610910	Val Loss: 1.652187	Val Acc: 45
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.635303	Val Loss: 1.611539	Val Acc: 45
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.565870	Val Loss: 1.611268	Val Acc: 45
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.479835	Val Loss: 1.608957	Val Acc: 44
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 1.517262	Val Loss: 1.587618	Val Acc: 46
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.602111	Val Loss: 1.609709	Val Acc: 47
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.453114	Val Loss: 1.565579	Val Acc: 46
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.726565	Val Loss: 1.622113	Val Acc: 44
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.624751	Val Loss: 1.597002	Val Acc: 45
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.621027	Val Loss: 1.555355	Val Acc: 47
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.484027	Val Loss: 1.567474	Val Acc: 45
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.629738	Val Loss: 1.546845	Val Acc: 45
Train Epoch: 2 [18000/49000 (37%)]	Train Loss: 1.586352	Val Loss: 1.556290	Val Acc: 45
Train Epoch: 2 [20000/49000 (41%)]	Train Loss: 1.522724	Val Loss: 1.528537	Val Acc: 48
Train Epoch: 2 [22000/49000 (45%)]	Train Loss: 1.505807	Val Loss: 1.541133	Val Acc: 46
Train Epoch: 2 [24000/49000 (49%)]	Train Loss: 1.531610	Val Loss: 1.552606	Val Acc: 46
Train Epoch: 2 [26000/49000 (53%)]	Train Loss: 1.521413	Val Loss: 1.551711	Val Acc: 48
Train Epoch: 2 [28000/49000 (57%)]	Train Loss: 1.433490	Val Loss: 1.498335	Val Acc: 49
Train Epoch: 2 [30000/49000 (61%)]	Train Loss: 1.431857	Val Loss: 1.523390	Val Acc: 48
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.385721	Val Loss: 1.548825	Val Acc: 48
Train Epoch: 2 [34000/49000 (69%)]	Train Loss: 1.571963	Val Loss: 1.507112	Val Acc: 49
Train Epoch: 2 [36000/49000 (73%)]	Train Loss: 1.401072	Val Loss: 1.512069	Val Acc: 48
Train Epoch: 2 [38000/49000 (78%)]	Train Loss: 1.377627	Val Loss: 1.490976	Val Acc: 49
Train Epoch: 2 [40000/49000 (82%)]	Train Loss: 1.460069	Val Loss: 1.512583	Val Acc: 49
Train Epoch: 2 [42000/49000 (86%)]	Train Loss: 1.453667	Val Loss: 1.476592	Val Acc: 49
Train Epoch: 2 [44000/49000 (90%)]	Train Loss: 1.468989	Val Loss: 1.500143	Val Acc: 48
Train Epoch: 2 [46000/49000 (94%)]	Train Loss: 1.519993	Val Loss: 1.488190	Val Acc: 48
Train Epoch: 2 [48000/49000 (98%)]	Train Loss: 1.453127	Val Loss: 1.480416	Val Acc: 49
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.353608	Val Loss: 1.458809	Val Acc: 50
Train Epoch: 3 [2000/49000 (4%)]	Train Loss: 1.526626	Val Loss: 1.476279	Val Acc: 48
Train Epoch: 3 [4000/49000 (8%)]	Train Loss: 1.479310	Val Loss: 1.485036	Val Acc: 50
Train Epoch: 3 [6000/49000 (12%)]	Train Loss: 1.461497	Val Loss: 1.451016	Val Acc: 50
Train Epoch: 3 [8000/49000 (16%)]	Train Loss: 1.366069	Val Loss: 1.456370	Val Acc: 48
Train Epoch: 3 [10000/49000 (20%)]	Train Loss: 1.330721	Val Loss: 1.497771	Val Acc: 48
Train Epoch: 3 [12000/49000 (24%)]	Train Loss: 1.361697	Val Loss: 1.463559	Val Acc: 50
Train Epoch: 3 [14000/49000 (29%)]	Train Loss: 1.406186	Val Loss: 1.470077	Val Acc: 50
Train Epoch: 3 [16000/49000 (33%)]	Train Loss: 1.401403	Val Loss: 1.463198	Val Acc: 50
Train Epoch: 3 [18000/49000 (37%)]	Train Loss: 1.648068	Val Loss: 1.455028	Val Acc: 49
Train Epoch: 3 [20000/49000 (41%)]	Train Loss: 1.338777	Val Loss: 1.430429	Val Acc: 50
Train Epoch: 3 [22000/49000 (45%)]	Train Loss: 1.400417	Val Loss: 1.422795	Val Acc: 51
Train Epoch: 3 [24000/49000 (49%)]	Train Loss: 1.465415	Val Loss: 1.463978	Val Acc: 49
Train Epoch: 3 [26000/49000 (53%)]	Train Loss: 1.530509	Val Loss: 1.437349	Val Acc: 51
Train Epoch: 3 [28000/49000 (57%)]	Train Loss: 1.432973	Val Loss: 1.439589	Val Acc: 51
Train Epoch: 3 [30000/49000 (61%)]	Train Loss: 1.256524	Val Loss: 1.418473	Val Acc: 51
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 1.349981	Val Loss: 1.424443	Val Acc: 51
Train Epoch: 3 [34000/49000 (69%)]	Train Loss: 1.416713	Val Loss: 1.429312	Val Acc: 51
Train Epoch: 3 [36000/49000 (73%)]	Train Loss: 1.420811	Val Loss: 1.427694	Val Acc: 50
Train Epoch: 3 [38000/49000 (78%)]	Train Loss: 1.452276	Val Loss: 1.423269	Val Acc: 51
Train Epoch: 3 [40000/49000 (82%)]	Train Loss: 1.410039	Val Loss: 1.405252	Val Acc: 52
Train Epoch: 3 [42000/49000 (86%)]	Train Loss: 1.299103	Val Loss: 1.438230	Val Acc: 50
Train Epoch: 3 [44000/49000 (90%)]	Train Loss: 1.287985	Val Loss: 1.392326	Val Acc: 51
Train Epoch: 3 [46000/49000 (94%)]	Train Loss: 1.325028	Val Loss: 1.397133	Val Acc: 51
Train Epoch: 3 [48000/49000 (98%)]	Train Loss: 1.421178	Val Loss: 1.398085	Val Acc: 52
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.340890	Val Loss: 1.432913	Val Acc: 51
Train Epoch: 4 [2000/49000 (4%)]	Train Loss: 1.245755	Val Loss: 1.391603	Val Acc: 51
Train Epoch: 4 [4000/49000 (8%)]	Train Loss: 1.272706	Val Loss: 1.425850	Val Acc: 50
Train Epoch: 4 [6000/49000 (12%)]	Train Loss: 1.232170	Val Loss: 1.415536	Val Acc: 51
Train Epoch: 4 [8000/49000 (16%)]	Train Loss: 1.309362	Val Loss: 1.408623	Val Acc: 52
Train Epoch: 4 [10000/49000 (20%)]	Train Loss: 1.364252	Val Loss: 1.387662	Val Acc: 51
Train Epoch: 4 [12000/49000 (24%)]	Train Loss: 1.311817	Val Loss: 1.393725	Val Acc: 52
Train Epoch: 4 [14000/49000 (29%)]	Train Loss: 1.374378	Val Loss: 1.393030	Val Acc: 50
Train Epoch: 4 [16000/49000 (33%)]	Train Loss: 1.430028	Val Loss: 1.412409	Val Acc: 50
Train Epoch: 4 [18000/49000 (37%)]	Train Loss: 1.185644	Val Loss: 1.393079	Val Acc: 52
Train Epoch: 4 [20000/49000 (41%)]	Train Loss: 1.397946	Val Loss: 1.389401	Val Acc: 52
Train Epoch: 4 [22000/49000 (45%)]	Train Loss: 1.238887	Val Loss: 1.405293	Val Acc: 51
Train Epoch: 4 [24000/49000 (49%)]	Train Loss: 1.327854	Val Loss: 1.379110	Val Acc: 52
Train Epoch: 4 [26000/49000 (53%)]	Train Loss: 1.243608	Val Loss: 1.406509	Val Acc: 51
Train Epoch: 4 [28000/49000 (57%)]	Train Loss: 1.340066	Val Loss: 1.384049	Val Acc: 51
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 1.184348	Val Loss: 1.365634	Val Acc: 51
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 1.191442	Val Loss: 1.369056	Val Acc: 51
Train Epoch: 4 [34000/49000 (69%)]	Train Loss: 1.288435	Val Loss: 1.374313	Val Acc: 51
Train Epoch: 4 [36000/49000 (73%)]	Train Loss: 1.373023	Val Loss: 1.358897	Val Acc: 53
Train Epoch: 4 [38000/49000 (78%)]	Train Loss: 1.233016	Val Loss: 1.357481	Val Acc: 53
Train Epoch: 4 [40000/49000 (82%)]	Train Loss: 1.391566	Val Loss: 1.356449	Val Acc: 51
Train Epoch: 4 [42000/49000 (86%)]	Train Loss: 1.211222	Val Loss: 1.350195	Val Acc: 53
Train Epoch: 4 [44000/49000 (90%)]	Train Loss: 1.226927	Val Loss: 1.354240	Val Acc: 52
Train Epoch: 4 [46000/49000 (94%)]	Train Loss: 1.331365	Val Loss: 1.349512	Val Acc: 53
Train Epoch: 4 [48000/49000 (98%)]	Train Loss: 1.291023	Val Loss: 1.359799	Val Acc: 52
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.228539	Val Loss: 1.352990	Val Acc: 52
Train Epoch: 5 [2000/49000 (4%)]	Train Loss: 1.310741	Val Loss: 1.337148	Val Acc: 53
Train Epoch: 5 [4000/49000 (8%)]	Train Loss: 1.368978	Val Loss: 1.353971	Val Acc: 53
Train Epoch: 5 [6000/49000 (12%)]	Train Loss: 1.304086	Val Loss: 1.346280	Val Acc: 54
Train Epoch: 5 [8000/49000 (16%)]	Train Loss: 1.280382	Val Loss: 1.342262	Val Acc: 53
Train Epoch: 5 [10000/49000 (20%)]	Train Loss: 1.212753	Val Loss: 1.362550	Val Acc: 53
Train Epoch: 5 [12000/49000 (24%)]	Train Loss: 1.203722	Val Loss: 1.350240	Val Acc: 53
Train Epoch: 5 [14000/49000 (29%)]	Train Loss: 1.516737	Val Loss: 1.355044	Val Acc: 52
Train Epoch: 5 [16000/49000 (33%)]	Train Loss: 1.024728	Val Loss: 1.329030	Val Acc: 53
Train Epoch: 5 [18000/49000 (37%)]	Train Loss: 1.225601	Val Loss: 1.339026	Val Acc: 54
Train Epoch: 5 [20000/49000 (41%)]	Train Loss: 1.269571	Val Loss: 1.328678	Val Acc: 53
Train Epoch: 5 [22000/49000 (45%)]	Train Loss: 1.295888	Val Loss: 1.327681	Val Acc: 55
Train Epoch: 5 [24000/49000 (49%)]	Train Loss: 1.205685	Val Loss: 1.337608	Val Acc: 54
Train Epoch: 5 [26000/49000 (53%)]	Train Loss: 1.243411	Val Loss: 1.365394	Val Acc: 51
Train Epoch: 5 [28000/49000 (57%)]	Train Loss: 1.408163	Val Loss: 1.342049	Val Acc: 53
Train Epoch: 5 [30000/49000 (61%)]	Train Loss: 1.274497	Val Loss: 1.373513	Val Acc: 52
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 1.346949	Val Loss: 1.318614	Val Acc: 55
Train Epoch: 5 [34000/49000 (69%)]	Train Loss: 1.316659	Val Loss: 1.328571	Val Acc: 55
Train Epoch: 5 [36000/49000 (73%)]	Train Loss: 1.202798	Val Loss: 1.331551	Val Acc: 53
Train Epoch: 5 [38000/49000 (78%)]	Train Loss: 1.211458	Val Loss: 1.325469	Val Acc: 54
Train Epoch: 5 [40000/49000 (82%)]	Train Loss: 1.241210	Val Loss: 1.324679	Val Acc: 54
Train Epoch: 5 [42000/49000 (86%)]	Train Loss: 1.237308	Val Loss: 1.325132	Val Acc: 53
Train Epoch: 5 [44000/49000 (90%)]	Train Loss: 1.150759	Val Loss: 1.314186	Val Acc: 55
Train Epoch: 5 [46000/49000 (94%)]	Train Loss: 1.207183	Val Loss: 1.309870	Val Acc: 53
Train Epoch: 5 [48000/49000 (98%)]	Train Loss: 1.085903	Val Loss: 1.337859	Val Acc: 53
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 1.309745	Val Loss: 1.313714	Val Acc: 54
Train Epoch: 6 [2000/49000 (4%)]	Train Loss: 1.275335	Val Loss: 1.306384	Val Acc: 55
Train Epoch: 6 [4000/49000 (8%)]	Train Loss: 1.114214	Val Loss: 1.311682	Val Acc: 55
Train Epoch: 6 [6000/49000 (12%)]	Train Loss: 1.174829	Val Loss: 1.304908	Val Acc: 54
Train Epoch: 6 [8000/49000 (16%)]	Train Loss: 1.207122	Val Loss: 1.303957	Val Acc: 55
Train Epoch: 6 [10000/49000 (20%)]	Train Loss: 1.053012	Val Loss: 1.291828	Val Acc: 56
Train Epoch: 6 [12000/49000 (24%)]	Train Loss: 1.194706	Val Loss: 1.315410	Val Acc: 54
Train Epoch: 6 [14000/49000 (29%)]	Train Loss: 1.217738	Val Loss: 1.299867	Val Acc: 53
Train Epoch: 6 [16000/49000 (33%)]	Train Loss: 1.273565	Val Loss: 1.298593	Val Acc: 55
Train Epoch: 6 [18000/49000 (37%)]	Train Loss: 1.221481	Val Loss: 1.309902	Val Acc: 54
Train Epoch: 6 [20000/49000 (41%)]	Train Loss: 1.252315	Val Loss: 1.304108	Val Acc: 54
Train Epoch: 6 [22000/49000 (45%)]	Train Loss: 1.193868	Val Loss: 1.303474	Val Acc: 55
Train Epoch: 6 [24000/49000 (49%)]	Train Loss: 1.174367	Val Loss: 1.295673	Val Acc: 54
Train Epoch: 6 [26000/49000 (53%)]	Train Loss: 1.346111	Val Loss: 1.296889	Val Acc: 55
Train Epoch: 6 [28000/49000 (57%)]	Train Loss: 1.310755	Val Loss: 1.300417	Val Acc: 55
Train Epoch: 6 [30000/49000 (61%)]	Train Loss: 1.201423	Val Loss: 1.307626	Val Acc: 55
Train Epoch: 6 [32000/49000 (65%)]	Train Loss: 1.210221	Val Loss: 1.299482	Val Acc: 54
Train Epoch: 6 [34000/49000 (69%)]	Train Loss: 1.233967	Val Loss: 1.290579	Val Acc: 55
Train Epoch: 6 [36000/49000 (73%)]	Train Loss: 1.196998	Val Loss: 1.303613	Val Acc: 55
Train Epoch: 6 [38000/49000 (78%)]	Train Loss: 1.199461	Val Loss: 1.298734	Val Acc: 55
Train Epoch: 6 [40000/49000 (82%)]	Train Loss: 1.178612	Val Loss: 1.302299	Val Acc: 55
Train Epoch: 6 [42000/49000 (86%)]	Train Loss: 1.179837	Val Loss: 1.291186	Val Acc: 55
Train Epoch: 6 [44000/49000 (90%)]	Train Loss: 1.088181	Val Loss: 1.290180	Val Acc: 55
Train Epoch: 6 [46000/49000 (94%)]	Train Loss: 1.236043	Val Loss: 1.316259	Val Acc: 54
Train Epoch: 6 [48000/49000 (98%)]	Train Loss: 1.065223	Val Loss: 1.286768	Val Acc: 56
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.210915	Val Loss: 1.281741	Val Acc: 55
Train Epoch: 7 [2000/49000 (4%)]	Train Loss: 1.252676	Val Loss: 1.297635	Val Acc: 55
Train Epoch: 7 [4000/49000 (8%)]	Train Loss: 1.203185	Val Loss: 1.286464	Val Acc: 54
Train Epoch: 7 [6000/49000 (12%)]	Train Loss: 1.172650	Val Loss: 1.285813	Val Acc: 55
Train Epoch: 7 [8000/49000 (16%)]	Train Loss: 1.196077	Val Loss: 1.282194	Val Acc: 55
Train Epoch: 7 [10000/49000 (20%)]	Train Loss: 1.220284	Val Loss: 1.283598	Val Acc: 55
Train Epoch: 7 [12000/49000 (24%)]	Train Loss: 1.212276	Val Loss: 1.291809	Val Acc: 55
Train Epoch: 7 [14000/49000 (29%)]	Train Loss: 1.145976	Val Loss: 1.275718	Val Acc: 56
Train Epoch: 7 [16000/49000 (33%)]	Train Loss: 1.224399	Val Loss: 1.294895	Val Acc: 56
Train Epoch: 7 [18000/49000 (37%)]	Train Loss: 1.332297	Val Loss: 1.294024	Val Acc: 55
Train Epoch: 7 [20000/49000 (41%)]	Train Loss: 1.196041	Val Loss: 1.282791	Val Acc: 56
Train Epoch: 7 [22000/49000 (45%)]	Train Loss: 1.317491	Val Loss: 1.288614	Val Acc: 57
Train Epoch: 7 [24000/49000 (49%)]	Train Loss: 1.126057	Val Loss: 1.280860	Val Acc: 56
Train Epoch: 7 [26000/49000 (53%)]	Train Loss: 1.248952	Val Loss: 1.268600	Val Acc: 55
Train Epoch: 7 [28000/49000 (57%)]	Train Loss: 1.246702	Val Loss: 1.300804	Val Acc: 55
Train Epoch: 7 [30000/49000 (61%)]	Train Loss: 1.158944	Val Loss: 1.281250	Val Acc: 55
Train Epoch: 7 [32000/49000 (65%)]	Train Loss: 1.189393	Val Loss: 1.301084	Val Acc: 56
Train Epoch: 7 [34000/49000 (69%)]	Train Loss: 1.166295	Val Loss: 1.266588	Val Acc: 56
Train Epoch: 7 [36000/49000 (73%)]	Train Loss: 1.203236	Val Loss: 1.274658	Val Acc: 57
Train Epoch: 7 [38000/49000 (78%)]	Train Loss: 1.160228	Val Loss: 1.263535	Val Acc: 56
Train Epoch: 7 [40000/49000 (82%)]	Train Loss: 1.213975	Val Loss: 1.314357	Val Acc: 54
Train Epoch: 7 [42000/49000 (86%)]	Train Loss: 1.246884	Val Loss: 1.265692	Val Acc: 56
Train Epoch: 7 [44000/49000 (90%)]	Train Loss: 1.301823	Val Loss: 1.289726	Val Acc: 55
Train Epoch: 7 [46000/49000 (94%)]	Train Loss: 1.197676	Val Loss: 1.269279	Val Acc: 56
Train Epoch: 7 [48000/49000 (98%)]	Train Loss: 1.213315	Val Loss: 1.272606	Val Acc: 55
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 1.250363	Val Loss: 1.288365	Val Acc: 56
Train Epoch: 8 [2000/49000 (4%)]	Train Loss: 1.121670	Val Loss: 1.263856	Val Acc: 56
Train Epoch: 8 [4000/49000 (8%)]	Train Loss: 1.161063	Val Loss: 1.269801	Val Acc: 56
Train Epoch: 8 [6000/49000 (12%)]	Train Loss: 1.168015	Val Loss: 1.275589	Val Acc: 56
Train Epoch: 8 [8000/49000 (16%)]	Train Loss: 1.207033	Val Loss: 1.264419	Val Acc: 55
Train Epoch: 8 [10000/49000 (20%)]	Train Loss: 1.114477	Val Loss: 1.261532	Val Acc: 57
Train Epoch: 8 [12000/49000 (24%)]	Train Loss: 1.048794	Val Loss: 1.263749	Val Acc: 56
Train Epoch: 8 [14000/49000 (29%)]	Train Loss: 1.241769	Val Loss: 1.254873	Val Acc: 57
Train Epoch: 8 [16000/49000 (33%)]	Train Loss: 1.117066	Val Loss: 1.266464	Val Acc: 56
Train Epoch: 8 [18000/49000 (37%)]	Train Loss: 1.061638	Val Loss: 1.251922	Val Acc: 56
Train Epoch: 8 [20000/49000 (41%)]	Train Loss: 1.109403	Val Loss: 1.255207	Val Acc: 56
Train Epoch: 8 [22000/49000 (45%)]	Train Loss: 1.073815	Val Loss: 1.258600	Val Acc: 57
Train Epoch: 8 [24000/49000 (49%)]	Train Loss: 1.106859	Val Loss: 1.265296	Val Acc: 56
Train Epoch: 8 [26000/49000 (53%)]	Train Loss: 1.198984	Val Loss: 1.289138	Val Acc: 55
Train Epoch: 8 [28000/49000 (57%)]	Train Loss: 1.113901	Val Loss: 1.262733	Val Acc: 56
Train Epoch: 8 [30000/49000 (61%)]	Train Loss: 1.185025	Val Loss: 1.250493	Val Acc: 56
Train Epoch: 8 [32000/49000 (65%)]	Train Loss: 1.114427	Val Loss: 1.268934	Val Acc: 56
Train Epoch: 8 [34000/49000 (69%)]	Train Loss: 1.141079	Val Loss: 1.273676	Val Acc: 55
Train Epoch: 8 [36000/49000 (73%)]	Train Loss: 1.284101	Val Loss: 1.280076	Val Acc: 56
Train Epoch: 8 [38000/49000 (78%)]	Train Loss: 1.140234	Val Loss: 1.253975	Val Acc: 57
Train Epoch: 8 [40000/49000 (82%)]	Train Loss: 1.194391	Val Loss: 1.261265	Val Acc: 56
Train Epoch: 8 [42000/49000 (86%)]	Train Loss: 1.213641	Val Loss: 1.250975	Val Acc: 57
Train Epoch: 8 [44000/49000 (90%)]	Train Loss: 1.313629	Val Loss: 1.265246	Val Acc: 56
Train Epoch: 8 [46000/49000 (94%)]	Train Loss: 1.087343	Val Loss: 1.248806	Val Acc: 56
Train Epoch: 8 [48000/49000 (98%)]	Train Loss: 1.194656	Val Loss: 1.252278	Val Acc: 57
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 1.145907	Val Loss: 1.259796	Val Acc: 56
Train Epoch: 9 [2000/49000 (4%)]	Train Loss: 1.080131	Val Loss: 1.250756	Val Acc: 56
Train Epoch: 9 [4000/49000 (8%)]	Train Loss: 1.122524	Val Loss: 1.253015	Val Acc: 57
Train Epoch: 9 [6000/49000 (12%)]	Train Loss: 1.055083	Val Loss: 1.244012	Val Acc: 57
Train Epoch: 9 [8000/49000 (16%)]	Train Loss: 1.087217	Val Loss: 1.259526	Val Acc: 57
Train Epoch: 9 [10000/49000 (20%)]	Train Loss: 1.240694	Val Loss: 1.240789	Val Acc: 57
Train Epoch: 9 [12000/49000 (24%)]	Train Loss: 1.133297	Val Loss: 1.246954	Val Acc: 56
Train Epoch: 9 [14000/49000 (29%)]	Train Loss: 1.158820	Val Loss: 1.257799	Val Acc: 57
Train Epoch: 9 [16000/49000 (33%)]	Train Loss: 1.226075	Val Loss: 1.251422	Val Acc: 56
Train Epoch: 9 [18000/49000 (37%)]	Train Loss: 1.117853	Val Loss: 1.261933	Val Acc: 57
Train Epoch: 9 [20000/49000 (41%)]	Train Loss: 1.088689	Val Loss: 1.241863	Val Acc: 58
Train Epoch: 9 [22000/49000 (45%)]	Train Loss: 1.260921	Val Loss: 1.243127	Val Acc: 57
Train Epoch: 9 [24000/49000 (49%)]	Train Loss: 1.083555	Val Loss: 1.237568	Val Acc: 58
Train Epoch: 9 [26000/49000 (53%)]	Train Loss: 1.078657	Val Loss: 1.248972	Val Acc: 56
Train Epoch: 9 [28000/49000 (57%)]	Train Loss: 1.154837	Val Loss: 1.249808	Val Acc: 56
Train Epoch: 9 [30000/49000 (61%)]	Train Loss: 1.145556	Val Loss: 1.244341	Val Acc: 57
Train Epoch: 9 [32000/49000 (65%)]	Train Loss: 1.132251	Val Loss: 1.245301	Val Acc: 56
Train Epoch: 9 [34000/49000 (69%)]	Train Loss: 1.211760	Val Loss: 1.232908	Val Acc: 57
Train Epoch: 9 [36000/49000 (73%)]	Train Loss: 1.137360	Val Loss: 1.249249	Val Acc: 56
Train Epoch: 9 [38000/49000 (78%)]	Train Loss: 1.270096	Val Loss: 1.230580	Val Acc: 58
Train Epoch: 9 [40000/49000 (82%)]	Train Loss: 1.116992	Val Loss: 1.237351	Val Acc: 57
Train Epoch: 9 [42000/49000 (86%)]	Train Loss: 1.037690	Val Loss: 1.242558	Val Acc: 57
Train Epoch: 9 [44000/49000 (90%)]	Train Loss: 1.147035	Val Loss: 1.249653	Val Acc: 57
