Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.146446	Val Loss: 3.581220	Val Acc: 10
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.845106	Val Loss: 2.702370	Val Acc: 29
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.375045	Val Loss: 2.373955	Val Acc: 29
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.226425	Val Loss: 2.210595	Val Acc: 32
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.073381	Val Loss: 1.979354	Val Acc: 35
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 1.793350	Val Loss: 1.920370	Val Acc: 35
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 1.831998	Val Loss: 1.824621	Val Acc: 37
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 1.805437	Val Loss: 1.722235	Val Acc: 38
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 1.685231	Val Loss: 1.768770	Val Acc: 39
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 1.781321	Val Loss: 1.767311	Val Acc: 38
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.802806	Val Loss: 1.741162	Val Acc: 38
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 1.696899	Val Loss: 1.699818	Val Acc: 42
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 1.571048	Val Loss: 1.689807	Val Acc: 39
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 1.650940	Val Loss: 1.705207	Val Acc: 40
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 1.583471	Val Loss: 1.682252	Val Acc: 41
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 1.688966	Val Loss: 1.736861	Val Acc: 38
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.733180	Val Loss: 1.690415	Val Acc: 41
