Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.835234	Val Loss: 3.678877	Val Acc: 13
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 3.130769	Val Loss: 2.748316	Val Acc: 32
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.314527	Val Loss: 2.227949	Val Acc: 30
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 1.884136	Val Loss: 2.051929	Val Acc: 35
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 1.909770	Val Loss: 1.884018	Val Acc: 36
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 1.791177	Val Loss: 1.732900	Val Acc: 41
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 1.874669	Val Loss: 1.696580	Val Acc: 42
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.629567	Val Loss: 1.684792	Val Acc: 42
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.672621	Val Loss: 1.705521	Val Acc: 41
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.747841	Val Loss: 1.671503	Val Acc: 41
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.696362	Val Loss: 1.684086	Val Acc: 41
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.604680	Val Loss: 1.670103	Val Acc: 41
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.617680	Val Loss: 1.692650	Val Acc: 40
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.780203	Val Loss: 1.662905	Val Acc: 43
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.676549	Val Loss: 1.681671	Val Acc: 40
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.642921	Val Loss: 1.673762	Val Acc: 44
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.664557	Val Loss: 1.683432	Val Acc: 41
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.626088	Val Loss: 1.679313	Val Acc: 42
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.673051	Val Loss: 1.660805	Val Acc: 43
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.761516	Val Loss: 1.661799	Val Acc: 43
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.662800	Val Loss: 1.664127	Val Acc: 42
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.655462	Val Loss: 1.673519	Val Acc: 43
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.751579	Val Loss: 1.673966	Val Acc: 42
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.703242	Val Loss: 1.666549	Val Acc: 42
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.721151	Val Loss: 1.660788	Val Acc: 43
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.497790	Val Loss: 1.663438	Val Acc: 42
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 1.754995	Val Loss: 1.660814	Val Acc: 41
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.614233	Val Loss: 1.659257	Val Acc: 43
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.682690	Val Loss: 1.659085	Val Acc: 43
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.636391	Val Loss: 1.662052	Val Acc: 42
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.729565	Val Loss: 1.670140	Val Acc: 41
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.611628	Val Loss: 1.668029	Val Acc: 43
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.664102	Val Loss: 1.660678	Val Acc: 42
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.614309	Val Loss: 1.671680	Val Acc: 43
Train Epoch: 2 [18000/49000 (37%)]	Train Loss: 1.661157	Val Loss: 1.664320	Val Acc: 43
Train Epoch: 2 [20000/49000 (41%)]	Train Loss: 1.672930	Val Loss: 1.664268	Val Acc: 43
Train Epoch: 2 [22000/49000 (45%)]	Train Loss: 1.693663	Val Loss: 1.673046	Val Acc: 43
Train Epoch: 2 [24000/49000 (49%)]	Train Loss: 1.671093	Val Loss: 1.679342	Val Acc: 42
Train Epoch: 2 [26000/49000 (53%)]	Train Loss: 1.684620	Val Loss: 1.665504	Val Acc: 42
Train Epoch: 2 [28000/49000 (57%)]	Train Loss: 1.644141	Val Loss: 1.662347	Val Acc: 43
Train Epoch: 2 [30000/49000 (61%)]	Train Loss: 1.580984	Val Loss: 1.664098	Val Acc: 42
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.781853	Val Loss: 1.653681	Val Acc: 44
Train Epoch: 2 [34000/49000 (69%)]	Train Loss: 1.698220	Val Loss: 1.649545	Val Acc: 45
Train Epoch: 2 [36000/49000 (73%)]	Train Loss: 1.642305	Val Loss: 1.662131	Val Acc: 44
Train Epoch: 2 [38000/49000 (78%)]	Train Loss: 1.580391	Val Loss: 1.670477	Val Acc: 43
Train Epoch: 2 [40000/49000 (82%)]	Train Loss: 1.686898	Val Loss: 1.655054	Val Acc: 45
Train Epoch: 2 [42000/49000 (86%)]	Train Loss: 1.694810	Val Loss: 1.671630	Val Acc: 42
Train Epoch: 2 [44000/49000 (90%)]	Train Loss: 1.723678	Val Loss: 1.679634	Val Acc: 42
Train Epoch: 2 [46000/49000 (94%)]	Train Loss: 1.746915	Val Loss: 1.664253	Val Acc: 42
Train Epoch: 2 [48000/49000 (98%)]	Train Loss: 1.729353	Val Loss: 1.661811	Val Acc: 43
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.721422	Val Loss: 1.665544	Val Acc: 43
Train Epoch: 3 [2000/49000 (4%)]	Train Loss: 1.684743	Val Loss: 1.655982	Val Acc: 44
Train Epoch: 3 [4000/49000 (8%)]	Train Loss: 1.637312	Val Loss: 1.690074	Val Acc: 42
Train Epoch: 3 [6000/49000 (12%)]	Train Loss: 1.777315	Val Loss: 1.662559	Val Acc: 42
Train Epoch: 3 [8000/49000 (16%)]	Train Loss: 1.766332	Val Loss: 1.671996	Val Acc: 41
Train Epoch: 3 [10000/49000 (20%)]	Train Loss: 1.679490	Val Loss: 1.668153	Val Acc: 42
Train Epoch: 3 [12000/49000 (24%)]	Train Loss: 1.709599	Val Loss: 1.662007	Val Acc: 43
Train Epoch: 3 [14000/49000 (29%)]	Train Loss: 1.596123	Val Loss: 1.673215	Val Acc: 43
Train Epoch: 3 [16000/49000 (33%)]	Train Loss: 1.677376	Val Loss: 1.676891	Val Acc: 41
Train Epoch: 3 [18000/49000 (37%)]	Train Loss: 1.661579	Val Loss: 1.670935	Val Acc: 42
Train Epoch: 3 [20000/49000 (41%)]	Train Loss: 1.652572	Val Loss: 1.647936	Val Acc: 43
Train Epoch: 3 [22000/49000 (45%)]	Train Loss: 1.646624	Val Loss: 1.666819	Val Acc: 42
Train Epoch: 3 [24000/49000 (49%)]	Train Loss: 1.633580	Val Loss: 1.650829	Val Acc: 43
Train Epoch: 3 [26000/49000 (53%)]	Train Loss: 1.658586	Val Loss: 1.665664	Val Acc: 43
Train Epoch: 3 [28000/49000 (57%)]	Train Loss: 1.642205	Val Loss: 1.662768	Val Acc: 42
Train Epoch: 3 [30000/49000 (61%)]	Train Loss: 1.715636	Val Loss: 1.670587	Val Acc: 42
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 1.709039	Val Loss: 1.667386	Val Acc: 43
Train Epoch: 3 [34000/49000 (69%)]	Train Loss: 1.628637	Val Loss: 1.672647	Val Acc: 42
Train Epoch: 3 [36000/49000 (73%)]	Train Loss: 1.616927	Val Loss: 1.650093	Val Acc: 45
Train Epoch: 3 [38000/49000 (78%)]	Train Loss: 1.594391	Val Loss: 1.655488	Val Acc: 44
Train Epoch: 3 [40000/49000 (82%)]	Train Loss: 1.600931	Val Loss: 1.645477	Val Acc: 44
Train Epoch: 3 [42000/49000 (86%)]	Train Loss: 1.707930	Val Loss: 1.657460	Val Acc: 43
Train Epoch: 3 [44000/49000 (90%)]	Train Loss: 1.666962	Val Loss: 1.659149	Val Acc: 44
Train Epoch: 3 [46000/49000 (94%)]	Train Loss: 1.655841	Val Loss: 1.668223	Val Acc: 42
Train Epoch: 3 [48000/49000 (98%)]	Train Loss: 1.719551	Val Loss: 1.669037	Val Acc: 42
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.738665	Val Loss: 1.673931	Val Acc: 42
Train Epoch: 4 [2000/49000 (4%)]	Train Loss: 1.704484	Val Loss: 1.654920	Val Acc: 42
Train Epoch: 4 [4000/49000 (8%)]	Train Loss: 1.748510	Val Loss: 1.644385	Val Acc: 43
Train Epoch: 4 [6000/49000 (12%)]	Train Loss: 1.616780	Val Loss: 1.650813	Val Acc: 43
Train Epoch: 4 [8000/49000 (16%)]	Train Loss: 1.727557	Val Loss: 1.661815	Val Acc: 41
Train Epoch: 4 [10000/49000 (20%)]	Train Loss: 1.768554	Val Loss: 1.672378	Val Acc: 42
Train Epoch: 4 [12000/49000 (24%)]	Train Loss: 1.600359	Val Loss: 1.647032	Val Acc: 44
Train Epoch: 4 [14000/49000 (29%)]	Train Loss: 1.582260	Val Loss: 1.650802	Val Acc: 43
Train Epoch: 4 [16000/49000 (33%)]	Train Loss: 1.792368	Val Loss: 1.655178	Val Acc: 43
Train Epoch: 4 [18000/49000 (37%)]	Train Loss: 1.709466	Val Loss: 1.636437	Val Acc: 44
Train Epoch: 4 [20000/49000 (41%)]	Train Loss: 1.717843	Val Loss: 1.656924	Val Acc: 43
Train Epoch: 4 [22000/49000 (45%)]	Train Loss: 1.665944	Val Loss: 1.649870	Val Acc: 44
Train Epoch: 4 [24000/49000 (49%)]	Train Loss: 1.568923	Val Loss: 1.652855	Val Acc: 44
Train Epoch: 4 [26000/49000 (53%)]	Train Loss: 1.718414	Val Loss: 1.665021	Val Acc: 43
Train Epoch: 4 [28000/49000 (57%)]	Train Loss: 1.760792	Val Loss: 1.668260	Val Acc: 44
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 1.691321	Val Loss: 1.669505	Val Acc: 43
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 1.665576	Val Loss: 1.663126	Val Acc: 43
Train Epoch: 4 [34000/49000 (69%)]	Train Loss: 1.568744	Val Loss: 1.648957	Val Acc: 44
Train Epoch: 4 [36000/49000 (73%)]	Train Loss: 1.696508	Val Loss: 1.669874	Val Acc: 42
Train Epoch: 4 [38000/49000 (78%)]	Train Loss: 1.749055	Val Loss: 1.670673	Val Acc: 42
Train Epoch: 4 [40000/49000 (82%)]	Train Loss: 1.717330	Val Loss: 1.662515	Val Acc: 45
Train Epoch: 4 [42000/49000 (86%)]	Train Loss: 1.810376	Val Loss: 1.666154	Val Acc: 44
Train Epoch: 4 [44000/49000 (90%)]	Train Loss: 1.704667	Val Loss: 1.651789	Val Acc: 43
Train Epoch: 4 [46000/49000 (94%)]	Train Loss: 1.620446	Val Loss: 1.664140	Val Acc: 42
Train Epoch: 4 [48000/49000 (98%)]	Train Loss: 1.707572	Val Loss: 1.665798	Val Acc: 42
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.684481	Val Loss: 1.664269	Val Acc: 41
Train Epoch: 5 [2000/49000 (4%)]	Train Loss: 1.636030	Val Loss: 1.651388	Val Acc: 44
Train Epoch: 5 [4000/49000 (8%)]	Train Loss: 1.837593	Val Loss: 1.658765	Val Acc: 41
Train Epoch: 5 [6000/49000 (12%)]	Train Loss: 1.638612	Val Loss: 1.646476	Val Acc: 43
Train Epoch: 5 [8000/49000 (16%)]	Train Loss: 1.626052	Val Loss: 1.653162	Val Acc: 43
Train Epoch: 5 [10000/49000 (20%)]	Train Loss: 1.674966	Val Loss: 1.696636	Val Acc: 41
Train Epoch: 5 [12000/49000 (24%)]	Train Loss: 1.667298	Val Loss: 1.674775	Val Acc: 42
Train Epoch: 5 [14000/49000 (29%)]	Train Loss: 1.534607	Val Loss: 1.672995	Val Acc: 44
Train Epoch: 5 [16000/49000 (33%)]	Train Loss: 1.617057	Val Loss: 1.658605	Val Acc: 43
Train Epoch: 5 [18000/49000 (37%)]	Train Loss: 1.718128	Val Loss: 1.653692	Val Acc: 42
