Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.348722	Val Loss: 2.302044	Val Acc: 9
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.300097	Val Loss: 2.301468	Val Acc: 11
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.298221	Val Loss: 2.300745	Val Acc: 13
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.297984	Val Loss: 2.299716	Val Acc: 12
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.296104	Val Loss: 2.298681	Val Acc: 12
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 2.293706	Val Loss: 2.296899	Val Acc: 14
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.294803	Val Loss: 2.293718	Val Acc: 15
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 2.298237	Val Loss: 2.293437	Val Acc: 15
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.285603	Val Loss: 2.290516	Val Acc: 16
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 2.287192	Val Loss: 2.283359	Val Acc: 17
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 2.302187	Val Loss: 2.278666	Val Acc: 19
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 2.280189	Val Loss: 2.282211	Val Acc: 15
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.265755	Val Loss: 2.277516	Val Acc: 14
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 2.270389	Val Loss: 2.263919	Val Acc: 15
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 2.274873	Val Loss: 2.263768	Val Acc: 13
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 2.261477	Val Loss: 2.247642	Val Acc: 14
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.238148	Val Loss: 2.243223	Val Acc: 15
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 2.221631	Val Loss: 2.227746	Val Acc: 17
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.237769	Val Loss: 2.223429	Val Acc: 17
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 2.177627	Val Loss: 2.208766	Val Acc: 19
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.216333	Val Loss: 2.192796	Val Acc: 19
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 2.155100	Val Loss: 2.183452	Val Acc: 20
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 2.138656	Val Loss: 2.175284	Val Acc: 19
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 2.179660	Val Loss: 2.158633	Val Acc: 20
